"","Id","country","city","settlement","establish","population","structures","kyc_pop","kyc_year","gpw20","gpw15","ghs15","hrsl18","wp_pb20","wp_u18","wp_u15","wp_c20","wpe16","ls18","ls15","grid16","area_m2"
"0","1","Tanzania","Dar es Salaam","MKUNGUNI A","21-12-2017","32080","8606",32080,2017,6755.400390625,5230.03759765625,2134.33740234375,7972.03662109375,2913.32446289062,5571.6865234375,4926.2275390625,12423.373046875,3.823157787323,4635.58984375,7672.28857421875,6755.400390625,178923.785127211
"1","2","Tanzania","Dar es Salaam","MKWAJUNI","28-11-2017","26400","2075",26400,2017,32885.04296875,24926.3046875,19199.822265625,33828.89453125,10602.546875,31181.1640625,26954.720703125,36720.37890625,14.4350023269653,16284.7431640625,19278.62890625,32885.04296875,675558.116830721
"2","3","Tanzania","Dar es Salaam","MKWINDA","29-11-2017","5004","417",5004,2017,3689.55029296875,2742.3486328125,3548.77392578125,4056.44262695312,1770.04565429688,2937.994140625,2484.80615234375,6120.6298828125,2.62985444068909,2169.35717773438,2125.69140625,3689.55029296875,123077.188593209
"3","4","Tanzania","Dar es Salaam","MNAZI MMOJA","30-11-2017","11276","929",11276,2017,14827.3955078125,11495.3369140625,8795.4150390625,16783.453125,3438.509765625,9913.1416015625,8437.396484375,13670.990234375,5.22016048431396,5504.2109375,6389.9052734375,14827.3955078125,244303.508554087
"4","5","Tanzania","Dar es Salaam","MNYAMANI","01-03-2019","11085","3816",11085,2019,9087.1015625,6525.18408203125,4867.1611328125,8931.5771484375,3013.91186523438,6901.74462890625,5666.734375,12149.0947265625,4.41766834259033,3282.47265625,4028.28588867188,9087.1015625,206746.872901663
"5","6","Tanzania","Dar es Salaam","ALLY MAUA A","14-11-2016","57120","1027",57120,2016,17930.7265625,13901.2783203125,5621.373046875,8653.5,3876.49682617188,10875.5107421875,9665.466796875,12517.365234375,7.04030323028564,10015.4912109375,14158.7587890625,17930.7265625,329486.201606838
"6","7","Tanzania","Dar es Salaam","ALLY MAUA B","14-11-2016","8000","2020",8000,2016,19461.58203125,15088.1142578125,7100.51611328125,11175.087890625,4066.92993164062,12646.7978515625,11117.994140625,12520.328125,9.24724578857422,12072.3798828125,17066.505859375,19461.58203125,432771.093133539
"7","8","Tanzania","Dar es Salaam","AZIMIO KASKAZINI","06-12-2016","16530","966",16530,2016,9015.212890625,6701.4072265625,3059.39379882812,5066.91357421875,2421.85083007812,4755.78662109375,4028.17163085938,5363.33544921875,5.65476369857788,2365.181640625,2316.91284179688,9015.212890625,264642.952007007
"8","9","Tanzania","Dar es Salaam","AZIMIO KUSINI","06-12-2016","14378","1630",14378,2016,14137.876953125,10509.310546875,2883.05981445312,5279.64697265625,2470.80786132812,5645.06982421875,4737.56982421875,4045.26928710938,11.403977394104,3785.7216796875,3709.79028320312,14137.876953125,533706.152174462
"9","10","Tanzania","Dar es Salaam","BARABARA YA MWINYI","05-12-2017","56000","2248",56000,2017,28688.05859375,21310.234375,18468.107421875,24661.787109375,8539.1396484375,26981.78125,22310.546875,31809.73828125,12.6607303619385,8040.9677734375,7075.94482421875,28688.05859375,592522.178632282
"10","11","Tanzania","Dar es Salaam","BARUTI","06-12-2017","301500","15024",301500,2017,20706.775390625,16053.4833984375,14771.1484375,22644.353515625,13345.6259765625,22579.708984375,19102.28515625,23062.73046875,43.5927352905273,9123.9345703125,5438.107421875,20706.775390625,2040140.0817255
"11","12","Tanzania","Dar es Salaam","BOKORANI","29-04-2019","3000","873",3000,2019,16364.2978515625,12164.30859375,10215.7060546875,16660.009765625,5839.216796875,13422.62109375,11518.908203125,19480.14453125,12.0983734130859,5446.90234375,5300.2607421875,16364.2978515625,566203.878918547
"12","13","Tanzania","Dar es Salaam","BONDE LA MPUNGA","06-12-2017","30000","1542",30000,2017,6174.77783203125,4787.16259765625,4483.8994140625,6712.28662109375,6617.53466796875,3698.08032226562,3377.3349609375,11215.548828125,11.9743213653564,20270.2421875,28656.21875,6174.77783203125,740805.578842555
